RESOLUTION,1280,960,,,,
et_capture,et_sharpen,et_gray,et_binary,deadline_miss,jitter in the frame,execution jitter
0.331027,0.391286,0.003322,0.015527,0,-0.668973,-0.258837
0.334542,0.386661,0.003362,0.014122,0,-0.665458,-0.261313
0.344434,0.386692,0.003617,0.013912,0,-0.655566,-0.251346
0.350106,0.386632,0.003521,0.013921,0,-0.649894,-0.245821
0.376646,0.386891,0.003415,0.012353,0,-0.623354,-0.220695
0.376646,0.386891,0.003415,0.012353,0,-0.623354,-0.220695
0.376646,0.386891,0.003415,0.012353,0,-0.623354,-0.220695
0.376646,0.386891,0.003415,0.012353,0,-0.623354,-0.220695
0.376646,0.386891,0.003415,0.012353,0,-0.623354,-0.220695
0.398082,0.408524,0.038562,0.047403,0,-0.601918,-0.107429
0.41959,0.388162,0.001489,0.01246,0,-0.58041,-0.178298
0.41959,0.388162,0.001489,0.01246,0,-0.58041,-0.178298
0.41959,0.388162,0.001489,0.01246,0,-0.58041,-0.178298
0.430416,0.385889,0.001929,0.013513,0,-0.569584,-0.168254
0.435617,0.382559,0.003064,0.013017,0,-0.564383,-0.165743
0.442066,0.40002,0.040218,0.05353,0,-0.557934,-0.064166
0.560603,0.386265,0.003109,0.013416,0,-0.439397,-0.036607
0.459227,0.385971,0.001821,0.012634,0,-0.540773,-0.140347
0.468752,0.385711,0.003274,0.013894,0,-0.531248,-0.128369
0.476933,0.38595,0.002751,0.01427,0,-0.523067,-0.120096
0.494269,0.414015,0.037206,0.049559,0,-0.505731,-0.00495
0.513557,0.386644,0.003702,0.014405,0,-0.486443,-0.081693
0.297417,0.386803,0.003248,0.014294,0,-0.702583,-0.298238
0.305226,0.385859,0.003222,0.014161,0,-0.694774,-0.291532
0.311851,0.386918,0.003252,0.014067,0,-0.688149,-0.283912
0.328334,0.387944,0.003807,0.012236,0,-0.671666,-0.26768
0.328334,0.387944,0.003807,0.012236,0,-0.671666,-0.26768
0.328334,0.387944,0.003807,0.012236,0,-0.671666,-0.26768
0.344569,0.386928,0.003667,0.014604,0,-0.655431,-0.250231
0.353598,0.387852,0.004022,0.014626,0,-0.646402,-0.239902
,,,,,,
wcet_capture,wcet_sharpen,wcet_gray,wcet_binary,,,
0.560603,0.578948,0.22642,0.05353,,,
,,,,,,
DEADLINE,1,,,,,
,,,,,,
ALL UNITS,SECONDS,,,,,
