RESOLUTION,1280,960,,,,,
et_capture,et_sharpen,et_gray,et_binary,et_total,deadline_miss,jitter in the frame,execution jitter
0.483266,0.395439,0.00365,0.015549,0.897904,0,-0.516734,-0.102095
0.488473,0.392004,0.003484,0.014321,0.898282,0,-0.511527,-0.101718
0.496225,0.392117,0.003626,0.014461,0.906429,0,-0.503775,-0.093571
0.304376,0.392288,0.003577,0.0144,0.714641,0,-0.695624,-0.285359
0.311817,0.392035,0.003523,0.014279,0.721654,0,-0.688183,-0.278346
0.319932,0.392105,0.003539,0.014336,0.729912,0,-0.680068,-0.270088
0.328203,0.392288,0.003519,0.01435,0.73836,0,-0.671797,-0.26164
0.335944,0.391948,0.003706,0.014451,0.746049,0,-0.664056,-0.253952
0.340193,0.392641,0.003662,0.014241,0.750737,0,-0.659807,-0.249264
0.348151,0.392284,0.003742,0.014451,0.758628,0,-0.651849,-0.241372
0.356191,0.392739,0.003609,0.0144,0.766939,0,-0.643809,-0.233062
0.364015,0.392605,0.003648,0.014399,0.774667,0,-0.635985,-0.225333
0.371647,0.392899,0.067169,0.014239,0.845954,0,-0.628353,-0.154046
0.379631,0.392499,0.003591,0.014336,0.790057,0,-0.620369,-0.209943
0.387441,0.392551,0.003588,0.01435,0.79793,0,-0.612559,-0.20207
0.395599,0.392755,0.003591,0.014348,0.806293,0,-0.604401,-0.193708
0.403554,0.392345,0.003645,0.014406,0.81395,0,-0.596446,-0.186051
0.410856,0.391512,0.003338,0.014549,0.820255,0,-0.589144,-0.179746
0.419071,0.392565,0.003381,0.014413,0.82943,0,-0.580929,-0.170569
0.426806,0.39176,0.003565,0.014333,0.836464,0,-0.573194,-0.163537
0.434772,0.391956,0.00352,0.014328,0.844576,0,-0.565228,-0.155424
0.442576,0.391714,0.003342,0.014369,0.852001,0,-0.557424,-0.147998
0.450745,0.392421,0.003603,0.01431,0.861079,0,-0.549255,-0.13892
0.45856,0.391815,0.003528,0.014466,0.868369,0,-0.54144,-0.131631
0.466491,0.391952,0.003743,0.014325,0.876511,0,-0.533509,-0.123489
0.474407,0.39153,0.003554,0.014423,0.883914,0,-0.525593,-0.116086
0.481994,0.392699,0.003428,0.014363,0.892484,0,-0.518006,-0.107517
0.490294,0.391679,0.013449,0.01437,0.909792,0,-0.509706,-0.090208
0.498143,0.391926,0.003525,0.014232,0.907826,0,-0.501857,-0.092174
0.306164,0.392061,0.003568,0.014412,0.716205,0,-0.693836,-0.283796
,,,,,,,
wcet_capture,wcet_sharpen,wcet_gray,wcet_binary,wcet_total,,,
0.498143,0.395439,0.067169,0.015549,0.9763,,,
,,,,,,,
DEADLINE,1,,,,,,
ALL UNITS,SECONDS,,,,,,
,,,,,,,
FPS,1,LOW MARGIN,,,,,
,LESS THAN 1,BETTER MARGIN,,,,,
